gouvernorat,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,feuille
Zaghouan,500.4,502.2,603.1,307.8,462.4,388.7,88.5,354.0,6.1,24.8,489.2,717.0,760.0,519.0,41.0,87.6,999.3,233.58,328.75,852.31,315.15,427.9,23.75,832.38,691.98,696.9,570.78,770.71,327.63,517.36,108.21,441.95,506.99,139.59,469.2,202.71,84.755,365.48,117.94,534.081,300.922,Feuil1
Sousse,4.5,31.8,18.6,157.1,30.2,511.8,3.5,318.0,0.1,111.0,252.0,364.0,275.0,196.0,38.0,0.3,411.9,6.93,40.19,90.0,98.0,0.436,1.1,202.76,465.1,294.55,91.5,266.05,55.9,204.67,27.08,166.7,289.31,8.18,285.51,14.77,7.71,278.198,30.875,148.211,89.137,Feuil1
Monastir,0.7,16.7,10.9,38.5,9.2,83.6,2.4,14.6,0.0,27.1,18.2,21.0,23.0,29.0,6.0,1.3,32.5,,3.53,9.71,17.1,,1.75,15.14,14.7,15.46,37.25,28.32,10.92,20.82,1.29,8.3,24.83,,11.25,5.6,0.0,8.19,0.0,8.051,4.914,Feuil1
Mahdia,3.5,32.5,13.0,84.8,43.3,235.6,8.6,103.4,1.9,100.0,205.2,148.0,109.0,171.0,114.0,2.8,136.5,9.05,75.7,29.4,156.6,,19.0,113.13,138.5,160.15,95.17,138.22,62.52,146.03,5.26,117.74,159.0,,254.02,29.06,0.0,134.195,2.4,77.9,46.0,Feuil1
Sfax,1.3,54.5,9.0,70.3,16.8,74.0,5.4,39.1,0.6,18.9,28.8,26.0,32.0,50.0,24.0,1.8,214.3,,1.32,31.42,15.0,0.4,2.36,57.36,21.25,9.4,70.17,71.9,2.47,70.01,0.32,11.18,10.6,0.7,10.32,0.44,0.0,5.405,0.395,1.729,2.2,Feuil1
Kairouan,135.0,183.0,239.8,394.0,311.1,835.0,62.8,543.1,67.8,192.7,970.2,1239.0,1100.0,635.0,142.0,237.2,1400.2,321.51,448.36,700.01,556.17,337.4,315.4,1215.93,974.0,768.33,514.86,679.5,272.0,666.74,233.21,657.3,1141.1,379.11,1015.31,467.01,460.64,623.93,579.66,762.971,685.4,Feuil1
Kasserine,357.0,227.4,288.0,48.1,207.2,1004.0,33.3,328.7,6.4,33.6,476.0,960.0,710.0,495.0,25.0,7.7,1091.2,36.62,167.63,310.04,123.46,47.0,13.23,751.6,870.72,369.05,304.38,202.3,22.31,842.66,74.6,842.92,263.59,24.0,147.48,73.87,36.01,224.55,50.62,461.5,103.05,Feuil1
Sidi Bouzid,87.8,79.4,16.0,154.3,69.6,264.0,15.1,252.2,44.4,88.9,606.0,765.0,330.0,425.0,79.0,112.0,1508.4,160.44,167.7,236.59,230.53,198.3,110.4,977.8,521.1,268.25,207.82,93.86,56.58,334.92,185.08,392.84,240.18,149.6,224.91,165.58,169.53,240.1,148.0,168.21,143.287,Feuil1
Gafsa,79.6,30.9,8.6,10.8,16.8,367.0,9.8,184.0,0.3,12.8,184.0,593.0,65.0,100.0,,1.6,548.9,4.4,6.53,49.36,8.38,7.606,,175.44,205.15,10.05,62.27,13.25,6.68,233.0,35.0,270.15,21.0,10.2,14.54,52.8,9.75,56.25,42.06,18.5,40.0,Feuil1
Gabès,13.0,77.1,0.6,39.5,1.2,63.6,0.4,32.5,6.2,18.0,49.0,64.0,2.0,55.0,9.0,20.0,182.2,,0.16,45.0,2.5,,8.76,1.8,40.0,,60.0,50.28,8.15,24.99,,8.19,6.05,,0.11,,0.075,31.15,30.1,0.143,19.58,Feuil1
Medenine,1.0,14.6,,7.7,3.4,14.4,,32.5,24.9,36.0,10.0,16.0,1.0,5.0,18.0,8.0,62.1,0.15,2.84,18.2,1.25,,,9.6,9.6,,6.46,5.5,16.61,6.8,,8.1,9.48,,,2.71,1.65,1.2,23.97,16.5,11.0,Feuil1
Tozeur,,,,,,5.2,,0.6,,,,7.0,2.0,,,,16.6,,,0.91,,,,3.0,3.5,0.2,,,,0.3,,,,,,,0.0,0.0,0.0,0.0,,Feuil1
Kébili,,,,8.1,,,,,,,,,,,,2.0,32.5,,,15.6,,,,0.5,72.0,,14.2,,,,,30.0,20.0,,,,0.0,3.0,3.0,5.0,9.0,Feuil1
Tatouine,,,,27.5,0.5,13.6,,,14.0,15.0,2.6,1.0,,,8.0,1.3,38.7,,,4.68,,,1.2,8.75,7.05,,,,,,,3.12,1.36,,0.28,1.66,0.0,0.0,2.2,0.2,0.03,Feuil1
