date,nom_ar,nom_fr,unite,valeur
2026-04-12 02:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.7
2026-04-12 02:00:00,Température,Température,°C,19.3
2026-04-12 00:00:00,L'humidité du sol,L'humidité du sol,mV,550.4
2026-04-12 00:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.7
2026-04-12 00:00:00,Température,Température,°C,19.3
2026-04-11 22:00:00,L'humidité du sol,L'humidité du sol,mV,550.8
2026-04-11 22:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.7
2026-04-11 22:00:00,Température,Température,°C,19.3
2026-04-11 20:00:00,L'humidité du sol,L'humidité du sol,mV,550.6
2026-04-11 20:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.7
2026-04-11 20:00:00,Température,Température,°C,19.2
2026-04-11 18:00:00,L'humidité du sol,L'humidité du sol,mV,550.8
2026-04-11 18:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.7
2026-04-11 18:00:00,Température,Température,°C,19.0
2026-04-02 21:00:00,L'humidité du sol,L'humidité du sol,mV,553.6
2026-04-02 21:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.8
2026-04-02 21:00:00,Température,Température,°C,14.4
2026-04-02 19:00:00,L'humidité du sol,L'humidité du sol,mV,553.7
2026-04-02 19:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.8
2026-04-02 19:00:00,Température,Température,°C,14.4
2026-04-02 17:00:00,L'humidité du sol,L'humidité du sol,mV,553.6
2026-04-02 17:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.8
2026-04-02 17:00:00,Température,Température,°C,14.3
2026-04-02 15:00:00,Température,Température,°C,14.3
2026-04-02 15:00:00,L'humidité du sol,L'humidité du sol,mV,553.7
2026-04-02 15:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.8
2026-04-02 13:00:00,L'humidité du sol,L'humidité du sol,mV,553.6
2026-04-02 13:00:00,Température,Température,°C,14.2
2026-04-02 13:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.8
2026-04-02 11:00:00,Température,Température,°C,14.3
