unnamed_0,feuille,unnamed_1,unnamed_2,unnamed_3,unnamed_4,unnamed_5,unnamed_6,unnamed_7,unnamed_8,unnamed_9,unnamed_10,unnamed_11,unnamed_12,unnamed_13,unnamed_14,unnamed_15,توزيع_المشاريع_الفلاحية_من_صنفي_ب_وج_حسب_القطاع,الموشرات,المنجزة,في_طور_الانجاز,indicateurs
بئر مشارقة,Agric2,1,1.0,1.0,43000,43000.0,43000.0,20000,*,14000.0,,3700.0,,Bir Mchergua,1653,,,,,,
الفحص,Agric2,9,9.0,9.0,7870,7870.0,7870.0,0.58,2050,140.0,,170.0,,Fahs,1654,,,,,,
الناظور,Agric2,2,2.0,2.0,4870,4870.0,4870.0,1.8,7970,1460.0,,162.0,,Nadhour,1655,,,,,,
صواف,Agric2,5,5.0,5.0,20780,20780.0,20780.0,2.59,10750,3070.0,,348.0,,Saouaf,1656,,,,,,
المجموع,Agric2,21,21.0,21.0,102430,102430.0,102430.0,20505.920000000002,23980,28410.0,,4950.0,,TOTAL,,,,,,,
المصدر: المندوبية الجهوية للتنمية الفلاحية,Agric2,,,,,,,Source : Commissariat Régional au Développement Agricole,,,,,,,,,,,,,
*: معطيات غير متوفرة,Agric2,,,,,,,,,,,,,,,,,,,,
**: الكمية المستغلة غير متوفرة,Agric2,,,,,,,,,,,,,,,,,,,,
,Agric3,,,,,,,,,,,,,,,,,,,,
تطور الموارد المائية حسب المائدة السطحية,Agric3,,,,,,,,,,,,,,,,,,,,
Evolution des ressources hydriques par nappe phréatique,Agric3,,,,,,,,,,,,,,,,,,,,
إسم المائدة,Agric3,عدد الآبـــار,,,المــوارد (م.م3),,,الاستغلال (م.م3),,,Nom de nappe,,,,,,,,,,
,Agric3,Nbre de puits,,,Ressources (Mm3),,,Exploitation (Mm3),,,,,,,,,,,,,
,Agric3,2015,2016.0,2017.0,2015,2016.0,2017.0,2015,2016.0,2017.0,,,,,,,,,,,
الفحص,Agric3,750,753.0,756.0,5,5.0,5.0,4,4.42,4.44,EL FAHS,,,,,,,,,,
سمنجة,Agric3,350,350.0,351.0,2.5,2.5,2.5,2,1.8,1.82,SMENJA,,,,,,,,,,
بوشة,Agric3,62,62.0,62.0,0.4,0.4,0.4,0.28,0.28,0.28,BOUCHA,,,,,,,,,,
وادي الرمل,Agric3,1103,1109.0,1114.0,8.3,8.3,8.3,4.8,4.98,5.04,OUED ERRAML,,,,,,,,,,
الناظور-صواف,Agric3,63,65.0,67.0,0.5,2.0,2.0,0.3,0.33,0.35,ENNADHOUR-SAOUAF,,,,,,,,,,
المجموع,Agric3,2328,2339.0,2350.0,16.700000000000003,18.200000000000003,18.200000000000003,11.38,11.81,11.930000000000001,Total,,,,,,,,,,
المصدر: المندوبية الجهوية للتنمية الفلاحية,Agric3,,,,,,,,,,Source :commissariat régional au développement agricole,,,,,,,,,,
تطور الموارد المائية حسب المائدة العميقة,Agric4,,,,,,,,,,,,,,,,,,,,
Evolution des ressources hydriques par nappe profonde,Agric4,,,,,,,,,,,,,,,,,,,,
اسم المائدة,Agric4,عدد الآبـــار,,,الموارد ( م م 3 ),,,الاستغلال (م.م3),,,Nom de la nappe,,,,,,,,,,
,Agric4,Nbre de puits,,,Ressources (Mm3 ),,,Exploitation (Mm3),,,,,,,,,,,,,
,Agric4,2015,2016.0,2017.0,2015,2016.0,2017.0,2015,2016,2017.0,,,,,,,,,,,
الفحص,Agric4,126,151.0,165.0,9.37,9.37,9.37,6.2,9.71,10.04,EL FAHS,,,,,,,,,,
بئر مشارقة,Agric4,97,109.0,119.0,7.7,7.7,7.7,3.15,3.9,3.45,BIR M’CHERGUA,,,,,,,,,,
الزريبة,Agric4,61,76.0,79.0,2.9,2.9,2.9,0.2,0.8,1.03,ZRIBA,,,,,,,,,,
زغوان,Agric4,164,180.0,199.0,9.08,9.08,9.08,8.29,9.18,10.79,ZAGHOUAN,,,,,,,,,,
الناظور-صواف,Agric4,513,521.0,533.0,8,8.0,8.0,17.52,18,19.0,ENNADHOUR-SAOUAF,,,,,,,,,,
المجموع,Agric4,961,1037.0,1095.0,37.05,37.05,37.05,35.36,41.59,44.309999999999995,Total,,,,,,,,,,
المصدر: المندوبية الجهوية للتنمية الفلاحية,Agric4,,,,,,,,Source : commissariat régional au développement agricole,,,,,,,,,,,,
231 بئر عشوائي بالناظور باستغلال يقدر بـ 4.24 م م3,Agric4,,,,,,,,,,,,,,,,,,,,
,Agric4,,,,,,,,,,,,,,,,,,,,
,Agric4,,,,,,,,,,,,,,,122.0,,,,,
تطور مساحة الأراضي الفلاحية حسب المؤهلات,Agric5,,,,,,,,,,,,,,,,,,,,
Evolution de superficie des Terres Agricoles selon la vocation,Agric5,,,,,,,,,,,,,,,,,,,,
الوحدة : هك,Agric5,,,,,,,,,,Unité : ha,,,,,,,,,,
المعتمدية,Agric5,الأراضي المحترثة,,,أراضي غير صالحة للزراعة,,,الغابات و المراعي,,,DELEGATION,Code-Géographique,,,,,,,,,
,Agric5,Terres agricoles,,,Terres non labourables,,,Forêts et parcours,,,,,,,,,,,,,
,Agric5,2015,2016.0,2017.0,2015,2016.0,2017.0,2015,2016.0,2017.0,,,,,,,,,,,
زغوان,Agric5,28000,28000.0,28000.0,1000,1000.0,1000.0,12000,12000.0,12000.0,Zaghouan,1651,,,,,,,,,
الزريبة,Agric5,24370,24370.0,24370.0,1200,1200.0,1200.0,10430,10430.0,10430.0,Zriba,1652,,,,,,,,,
بئر مشارقة,Agric5,15300,15300.0,15300.0,1700,1700.0,1700.0,10000,10000.0,10000.0,Bir Mchergua,1653,,,,,,,,,
الفحص,Agric5,21000,21000.0,21000.0,1000,1000.0,1000.0,12000,12000.0,12000.0,Fahs,1654,,,,,,,,,
الناظور,Agric5,52330,52330.0,52330.0,4000,4000.0,4000.0,33670,33670.0,33670.0,Nadhour,1655,,,,,,,,,
صواف,Agric5,44000,44000.0,44000.0,1100,1100.0,1100.0,8900,8900.0,8900.0,Saouaf,1656,,,,,,,,,
المجموع,Agric5,185000,185000.0,185000.0,10000,10000.0,10000.0,87000,87000.0,87000.0,TOTAL,,,,,,,,,,
المصدر: المندوبية الجهوية للتنمية الفلاحية,Agric5,,,,,,,,,,,Source : commissariat régional au développement agricole,,,,,,,,,
تطور المساحات السقوية العمومية حسب المعتمدية,Agric6,,,,,,,,,,,,,,,,,,,,
Evolution des Périmètres Publics Irrigués selon la Délégation,Agric6,,,,,,,,,,,,,,,,,,,,
الوحدة: هكتار,Agric6,,,,,,,,,,Unité : Ha,,,,,,,,,,
المعتمدية,Agric6,المساحات القابلة للري,,,المساحات المروية,,,المساحات المستغلة,,,DELEGATION,Code-Géographique,,,,,,,,,
,Agric6,Superficies irrigables,,,Superficies irriguées,,,Superficies exploitées,,,,,,,,,,,,,
,Agric6,2015,2016.0,2017.0,2015,2016.0,2017.0,2015,2016.0,2017.0,,,,,,,,,,,
زغوان,Agric6,350,365.0,375.0,171,141.0,251.0,299,250.0,251.0,Zaghouan,1651,,,,,,,,,
الزريبة,Agric6,363,543.0,543.0,55,235.0,203.0,293,300.0,203.0,Zriba,1652,,,,,,,,,
بئر مشارقة,Agric6,400,400.0,400.0,84,113.0,0.0,400,200.0,0.0,Bir Mchergua,1653,,,,,,,,,
الفحص,Agric6,430,474.0,612.0,57,130.0,395.0,366,250.0,395.0,Fahs,1654,,,,,,,,,
الناظور,Agric6,1395,1395.0,1395.0,1007,817.0,961.0,1481,1100.0,1538.0,Nadhour,1655,,,,,,,,,
صواف,Agric6,835,775.0,835.0,218,252.0,381.0,495,450.0,398.0,Saouaf,1656,,,,,,,,,
المجموع,Agric6,3773,3952.0,4160.0,1592,1688.0,2191.0,3334,2550.0,2784.0,TOTAL,,,,,,,,,,
المصدر: المندوبية الجهوية للتنمية الفلاحية,Agric6,,,,,,,,,,,Source :Commissariat Régional au Développement Agricole,,,,,,,,,
تطور المساحات السقوية الخاصة حسب المعتمدية,Agric7,,,,,,,,,,,,,,,,,,,,
Evolution des Périmètres Irrigués Privés selon la Délégation,Agric7,,,,,,,,,,,,,,,,,,,,
الوحدة : هكتار,Agric7,,,,,,,,,,,Unité : Ha,,,,,,,,,
المعتمدية,Agric7,المساحات القابلة للري,,,المساحات المروية,,,المساحات المستغلة,,,DELEGATION,Code-Géographique,,,,,,,,,
,Agric7,Superficies irrigables,,,Superficies irriguées,,,Superficies exploitées,,,,,,,,,,,,,
,Agric7,2015,2016.0,2017.0,2015,2016.0,2017.0,2015,2016.0,2017.0,,,,,,,,,,,
زغوان,Agric7,1410,1470.0,1535.0,1291,1330.0,1360.0,1410,1500.0,1560.4606525911709,Zaghouan,1651,,,,,,,,,
الزريبة,Agric7,410,430.0,477.0,305,310.0,320.0,402,430.0,440.0,Zriba,1652,,,,,,,,,
بئر مشارقة,Agric7,2926,3048.0,3143.0,2305,2380.0,2450.0,2926,3120.0,3240.0,Bir Mchergua,1653,,,,,,,,,
الفحص,Agric7,2583,2690.0,2728.0,2583,2660.0,2740.0,2825,3010.0,3100.0,Fahs,1654,,,,,,,,,
الناظور,Agric7,1731,1800.0,1793.0,1664,1710.0,1760.0,1731,1840.0,1900.0,Nadhour,1655,,,,,,,,,
صواف,Agric7,490,510.0,485.0,389,400.0,410.0,490,520.0,540.0,Saouaf,1656,,,,,,,,,
المجموع,Agric7,9550,9948.0,10161.0,8537,8790.0,9040.0,9784,10420.0,10780.460652591171,TOTAL,,,,,,,,,,
المصدر: المندوبية الجهوية للتنمية الفلاحية,Agric7,,,,,,,,,,,Source : Commissariat Régional au Développement Agricole,,,,,,,,,
تطور مؤشرات المساحات السقوية,Agric8,,,,,,,,,,,,,,,,,,,,
Evolution des indicateurs des périmètres irrigués,Agric8,,,,,,,,,,,,,,,,,,,,
المعتمدية,Agric8,نسبة التكثيف      (%)        Taux d'intensification,,,,,,نسبة الإستغلال     (%)        Taux d'exploitation,,,,,,DELEGATION,Code-Géographique,,,,,,
,Agric8,عمومي    Public,,,خاص     Privé,,,عمومي    Public,,,خاص     Privé,,,,,,,,,,
,Agric8,2015,2016.0,2017.0,2015,2016.0,2017.0,2015,2016.0,2017.0,2015,2016.0,2017.0,,,,,,,,
زغوان,Agric8,0.8542857142857143,0.684931506849315,0.6693333333333333,1,1.0204081632653061,1.016586744359069,0.48857142857142855,0.3863013698630137,0.6693333333333333,0.9156028368794327,0.9047619047619048,0.8859934853420195,Zaghouan,1651,,,,,,
الزريبة,Agric8,0.8071625344352618,0.5524861878453039,0.3738489871086556,0.9804878048780488,1.0,0.9224318658280922,0.15151515151515152,0.43278084714548803,0.3738489871086556,0.7439024390243902,0.7209302325581395,0.6708595387840671,Zriba,1652,,,,,,
بئر مشارقة,Agric8,1,0.5,0.0,1,1.0236220472440944,1.0308622335348394,0.21,0.2825,0.0,0.7877648667122351,0.7808398950131233,0.779510022271715,Bir Mchergua,1653,,,,,,
الفحص,Agric8,0.8511627906976744,0.5274261603375527,0.6454248366013072,1.0936895083236546,1.1189591078066914,1.1363636363636365,0.1325581395348837,0.2742616033755274,0.6454248366013072,1,0.9888475836431226,1.0043988269794721,Fahs,1654,,,,,,
الناظور,Agric8,1.0616487455197132,0.7885304659498208,1.1025089605734768,1,1.0222222222222221,1.0596765197992193,0.7218637992831541,0.5856630824372759,0.6888888888888889,0.9612940496822646,0.95,0.9815950920245399,Nadhour,1655,,,,,,
صواف,Agric8,0.592814371257485,0.5806451612903226,0.47664670658682634,1,1.0196078431372548,1.1134020618556701,0.26107784431137726,0.3251612903225806,0.4562874251497006,0.7938775510204081,0.7843137254901961,0.845360824742268,Saouaf,1656,,,,,,
المجموع,Agric8,0.8836469652796184,0.645242914979757,0.6692307692307692,1.024502617801047,1.047446722959389,1.0609645362258804,0.42194540153723825,0.4271255060728745,0.5266826923076923,0.8939267015706807,0.8835946924004825,0.8896762129711643,TOTAL,,,,,,,
المصدر: المندوبية الجهوية للتنمية الفلاحية,Agric8,,,,,,,,,,,,,,Source : Commissariat Régional au Développement Agricole,,,,,,
,Agric9,,,,,,,,,,,,,,,,,,,,
,Agric9,تطور المساحات المزروعة حسب الاستغلال (هك),,,,,,,,,,,,,,,,,,,
,Agric9,Evolution de la superficie agricole selon l'exploitation (Ha),,,,,,,,,,,,,,,,,,,
,Agric9,الوحدة : هك,,,,,,,,,,,Unité : Ha,,,,,,,,
,Agric9,المعتمدية,الخضروات,,,زراعات صناعية,,,أشجار مثمرة (بدون زياتين),,,DELEGATION,Code-Géographique,,,,,,,,
,Agric9,,Maraîchage,,,Cultures Industrielles,,,Arboriculture,,,,,,,,,,,,
,Agric9,,2015,2016.0,2017.0,2015,2016.0,2017.0,2015,2016.0,2017.0,,,,,,,,,,
,Agric9,زغوان,333,274.0,292.0,,,19.0,1000,1064.0,1014.0,Zaghouan,1651,,,,,,,,
,Agric9,الزريبة,93,39.0,128.0,,,,696,690.0,656.0,Zriba,1652,,,,,,,,
,Agric9,بئر مشارقة,110,61.0,96.0,,,53.0,1033,1079.0,1050.0,Bir Mchergua,1653,,,,,,,,
,Agric9,الفحص,787,804.0,817.0,,,28.0,2542,2723.0,2510.0,Fahs,1654,,,,,,,,
,Agric9,الناظور,2350,2319.0,2611.0,,,,366,385.0,357.0,Nadhour,1655,,,,,,,,
,Agric9,صواف,270,205.0,322.0,,,,482,485.0,377.0,Saouaf,1656,,,,,,,,
,Agric9,المجموع,3943,3702.0,4266.0,,,100.0,6119,6426.0,5964.0,TOTAL,,,,,,,,,
,Agric9,المصدر: المندوبية الجهوية للتنمية الفلاحية,,,,,,,,,,,Source : Commissariat Régional au Développement Agricole,,,,,,,,
,Agric10,,,,,,,,,,,,,,,,,,,,
,Agric10,تطور المساحات المزروعة حسب الاستغلال (هك) يتبع,,,,,,,,,,,,,,,,,,,
,Agric10,Evolution de la superficie agricole selon l'exploitation (Ha) suite,,,,,,,,,,,,,,,,,,,
الوحدة : هك,Agric10,,,,,,,,,,,,,,Unité : Ha,,,,,,
المعتمدية,Agric10,الحبوب,,,بقول,,,الأعلاف,,,زيتون,,,DELEGATION,Code-Géographique,,,,,,
,Agric10,Céréaliculture,,,Légumineuses,,,Fourrages,,,Olives,,,,,,,,,,
,Agric10,2015,2016.0,2017.0,2015,2016.0,2017.0,2015,2016.0,2017.0,2015,2016.0,2017.0,,,,,,,,
زغوان,Agric10,10635,10870.0,11100.0,238,327.0,470.0,5158,5195.0,5158.0,9419,9566.0,9721.0,Zaghouan,1651,,,,,,
الزريبة,Agric10,5230,6000.0,6500.0,67,85.0,120.0,770,740.0,700.0,8047,8118.0,8262.0,Zriba,1652,,,,,,
بئر مشارقة,Agric10,18397,17618.0,16000.0,85,158.0,157.0,7034,8000.0,9022.0,7065,7179.0,7348.0,Bir Mchergua,1653,,,,,,
الفحص,Agric10,23000,25125.0,24560.0,945,795.0,308.0,7630,7758.0,7580.0,13469,13883.0,14141.0,Fahs,1654,,,,,,
الناظور,Agric10,6408,6450.0,6100.0,300,375.0,375.0,800,800.0,830.0,8931,9082.0,9261.0,Nadhour,1655,,,,,,
صواف,Agric10,4730,4637.0,4140.0,20,36.0,70.0,1240,1295.0,1325.0,6730,6779.0,6813.0,Saouaf,1656,,,,,,
المجموع,Agric10,68400,70700.0,68400.0,1655,1776.0,1500.0,22632,23788.0,24615.0,53661,54607.0,55546.0,TOTAL,,,,,,,
المصدر: المندوبية الجهوية للتنمية الفلاحية,Agric10,,,,,,,,,,,,,Source : Commissariat Régional au Développement Agricole,,,,,,,
تطور الإنتاج النباتي حسب الصنف,Agric11,,,,,,,,,,,,,,,,,,,,
Evolution de la Production Végétale selon l'Espèce,Agric11,,,,,,,,,,,,,,,,,,,,
الوحدة : طن,Agric11,,,,,,,,,,Unité : tonne,,,,,,,,,,
المعتمدية,Agric11,الخضروات,,,زراعات صناعية,,,أشجار مثمرة (بدون زيتون),,,DELEGATION,Code-Géographique,,,,,,,,,
,Agric11,Maraîchage,,,Cultures Industrielles,,,Arboriculture,,,,,,,,,,,,,
,Agric11,2015,2016.0,2017.0,2015,2016.0,2017.0,2015,2016.0,2017.0,,,,,,,,,,,
زغوان,Agric11,10778,9060.0,10245.0,,,14.5,11074,9898.0,6500.0,Zaghouan,1651,,,,,,,,,
الزريبة,Agric11,3575,1600.0,4146.0,,,,2190,2271.0,1450.0,Zriba,1652,,,,,,,,,
بئر مشارقة,Agric11,5615,1950.0,4530.0,,,48.0,4893,4910.0,3430.0,Bir Mchergua,1653,,,,,,,,,
الفحص,Agric11,22665,25845.0,30995.0,,,27.0,5068,5638.0,3950.0,Fahs,1654,,,,,,,,,
الناظور,Agric11,94628,92408.0,116725.0,,,,1306,1380.0,910.0,Nadhour,1655,,,,,,,,,
صواف,Agric11,11160,8300.0,13925.0,,,,3028,2772.0,1800.0,Saouaf,1656,,,,,,,,,
المجموع,Agric11,148421,139163.0,180566.0,0,0.0,89.5,27559,26869.0,18040.0,TOTAL,,,,,,,,,,
المصدر: المندوبية الجهوية للتنمية الفلاحية,Agric11,,,,,,,,,,,Source : Commissariat Régional au Développement Agricole,,,,,,,,,
تطور الإنتاج النباتي حسب الصنف (تابع),Agric12,,,,,,,,,,,,,,,,,,,,
Evolution de la Production Végétale selon l'Espèce (suite),Agric12,,,,,,,,,,,,,,,,,,,,
الوحدة : طن,Agric12,,,,,,,,,,,,,,Unité : tonne,,,,,,
المعتمدية,Agric12,الحبوب,,,بقول,,,الأعلاف,,,زيتون,,,DELEGATION,Code-Géographique,,,,,,
,Agric12,Céréaliculture,,,Légumineuses,,,Fourrages,,,Olives,,,,,,,,,,
,Agric12,2015,2016.0,2017.0,2015,2016.0,2017.0,2015,2016.0,2017.0,2015,2016.0,2017.0,,,,,,,,
زغوان,Agric12,8749,1140.0,19046.6,215,27.0,157.5,24520,6590.0,4432.0,2115,4020.0,1100.0,Zaghouan,1651,,,,,,
الزريبة,Agric12,1470,165.0,9964.0,15,0.0,24.0,800,200.0,897.0,7290,2350.0,800.0,Zriba,1652,,,,,,
بئر مشارقة,Agric12,18827,5755.0,24662.5,55,150.0,244.8,37960,8400.0,5656.1,9261,12770.0,5500.0,Bir Mchergua,1653,,,,,,
الفحص,Agric12,33387,10989.0,53068.5,336,0.0,400.0,48450,9870.0,11900.0,21882,18130.0,11090.0,Fahs,1654,,,,,,
الناظور,Agric12,1341,1311.0,3794.0,112,3.0,5.0,0,0.0,250.0,8960,7105.0,2500.0,Nadhour,1655,,,,,,
صواف,Agric12,1941,24.0,3960.0,0,0.0,0.0,1240,1050.0,3120.0,5538,3050.0,810.0,Saouaf,1656,,,,,,
المجموع,Agric12,65715,19384.0,114495.6,733,180.0,831.3,112970,26110.0,26255.1,55046,47425.0,21800.0,TOTAL,,,,,,,
المصدر: المندوبية الجهوية للتنمية الفلاحية,Agric12,,,,,,,,,,,,,,Source : Commissariat Régional au Développement Agricole,,,,,,
تطور تربية الماشية حسب الصنف,Agric13,,,,,,,,,,,,,,,,,,,,
Evolution du Cheptel selon l'Espèce,Agric13,,,,,,,,,,,,,,,,,,,,
الوحدة : أنثى منتجة,Agric13,,,,,,,,,,,,,,Unité : femelle productive,,,,,,
المعتمدية,Agric13,أبقار,,Bovins,أغنام,,Ovins,ماعز,,Caprins,Camelidés                         الإبل,,,DELEGATION,Code-géographique,,,,,,
,Agric13,2015,2016.0,2017,2015,2016.0,2017,2015,2016.0,2017,2015,2016.0,2017.0,,,,,,,,
زغوان,Agric13,1700,1650.0,1610,34450,34650.0,35000,5000,5050.0,5050,,,,Zaghouan,1651,,,,,,
الزريبة,Agric13,1440,1410.0,1370,25200,25350.0,25600,10100,10250.0,10250,,,,Zriba,1652,,,,,,
بئر مشارقة,Agric13,3410,3300.0,3210,26500,26650.0,26950,3450,3500.0,3500,,,,Bir Mchergua,1653,,,,,,
الفحص,Agric13,3840,3720.0,3630,48300,48550.0,49000,5750,5850.0,5850,,,,Fahs,1654,,,,,,
الناظور,Agric13,940,920.0,900,30100,30250.0,30600,2500,2550.0,2550,,,,Nadhour,1655,,,,,,
صواف,Agric13,820,800.0,780,25450,25550.0,25850,5700,5800.0,5800,,,,Saouaf,1656,,,,,,
المجموع,Agric13,12150,11800.0,11500,190000,191000.0,193000,32500,33000.0,33000,,,,TOTAL,,,,,,,
المصدر :  المندوبية الجهوية للتنمية الفلاحية,Agric13,,,,,,,,,,,,,,Source : Commissariat Régional au Développement Agricole,,,,,,
تطور تربية الماشية الصغرى,Agric14,,,,,,,,,,,,,,,,,,,,
Evolution du petit élevage,Agric14,,,,,,,,,,,,,,,,,,,,
المعتمدية,Agric14,دواجن (ألف وحدة),,,أرانب (أمهات),,,خلايا نحل,,,DELEGATION,Code-Géographique,,,,,,,,,
,Agric14,Avicultures (1000 unités),,,Cunicultures (unités),,,Apicultures (ruches),,,,,,,,,,,,,
,Agric14,2015,2016.0,2017.0,2015,2016.0,2017.0,2015,2016.0,2017.0,,,,,,,,,,,
زغوان,Agric14,1105,1077.0,876.0,680,670.0,630.0,2075,1960.0,2010.0,Zaghouan,1651,,,,,,,,,
الزريبة,Agric14,29,37.0,70.0,850,790.0,600.0,1635,1535.0,1535.0,Zriba,1652,,,,,,,,,
بئر مشارقة,Agric14,204,491.0,431.0,610,450.0,450.0,785,725.0,725.0,Bir Mchergua,1653,,,,,,,,,
الفحص,Agric14,83,141.0,223.0,500,550.0,590.0,4140,4030.0,4130.0,Fahs,1654,,,,,,,,,
الناظور,Agric14,439,383.0,398.0,210,200.0,200.0,535,480.0,480.0,Nadhour,1655,,,,,,,,,
صواف,Agric14,546,491.0,444.0,300,290.0,280.0,330,270.0,320.0,Saouaf,1656,,,,,,,,,
المجموع,Agric14,2406,2620.0,2442.0,3150,2950.0,2750.0,9500,9000.0,9200.0,TOTAL,,,,,,,,,,
المصدر :  المندوبية الجهوية للتنمية الفلاحية,Agric14,,,,,,,,,,,Source : Commissariat Régional au Développement Agricole,,,,,,,,,
تطور الإنتاج الحيواني حسب الصنف,Agric15,,,,,,,,,,,,,,,,,,,,
Evolution de la Production Animale selon l'Espèce,Agric15,,,,,,,,,,,,,,,,,,,,
الوحدة : طن,Agric15,,,,,,,,,,Unité : tonne,,,,,,,,,,
المعتمدية,Agric15,لحوم حمراء,,,لحوم بيضاء,,,حليب,,,DELEGATION,Code-Géographique,,,,,,,,,
,Agric15,Viandes rouges,,,Viandes blanches,,,Lait,,,,,,,,,,,,,
,Agric15,2015,2016.0,2017.0,2015,2016.0,2017.0,2015,2016.0,2017.0,,,,,,,,,,,
زغوان,Agric15,921,918.5,920.0,2076,1959.5,1637.0,3363,3281.0,3231.0,Zaghouan,1651,,,,,,,,,
الزريبة,Agric15,777.5,779.0,778.0,62.5,69.0,98.0,1964,1923.0,1862.0,Zriba,1652,,,,,,,,,
بئر مشارقة,Agric15,1150.5,1126.0,1087.0,664,1099.5,1153.0,8777.5,8549.5,8384.0,Bir Mchergua,1653,,,,,,,,,
الفحص,Agric15,1557,1544.0,1539.0,44.5,141.5,194.0,8922.5,8687.5,8521.0,Fahs,1654,,,,,,,,,
الناظور,Agric15,668.5,670.5,675.0,518.5,442.5,460.0,888,882.0,869.0,Nadhour,1655,,,,,,,,,
صواف,Agric15,615.5,617.0,621.0,655.5,571.5,429.0,785,777.0,763.0,Saouaf,1656,,,,,,,,,
المجموع,Agric15,5690,5655.0,5620.0,4021,4283.5,3971.0,24700,24100.0,23630.0,TOTAL,,,,,,,,,,
المـصــــدر  :   المندوبية  الجهوية  للتنمية  الفلاحية,Agric15,,,,,,,,,,,Source : Commissariat Régional au Développement Agricole,,,,,,,,,
تطور الانتاج الحيواني حسب الصنف (يتبع),Agric16,,,,,,,,,,,,,,,,,,,,
Evolution de la Production Animale selon l'Espèce (suite),Agric16,,,,,,,,,,,,,,,,,,,,
الوحدة : طن,Agric16,,,,,,,,,,Unité : tonne,,,,,,,,,,
المعتمدية,Agric16,صوف,,,البيض (ألف بيضة),,,عسل,,,DELEGATION,Code-Géographique,,,,,,,,,
,Agric16,Laine,,,Œufs (milliers),,,Miel,,,,,,,,,,,,,
,Agric16,2015,2016.0,2017.0,2015,2016.0,2017.0,2015,2016.0,2017.0,,,,,,,,,,,
زغوان,Agric16,52,52.0,52.5,43400,62000.0,43960.0,17.9,16.3,18.2,Zaghouan,1651,,,,,,,,,
الزريبة,Agric16,38,38.0,38.5,,,,14.1,13.0,14.4,Zriba,1652,,,,,,,,,
بئر مشارقة,Agric16,39.5,40.0,40.0,25500,16000.0,18640.0,6.4,6.1,6.7,Bir Mchergua,1653,,,,,,,,,
