annee,delegation,superficie_cereales_en_pluvial_ha,feuille
2017,القيروان الجنوبية,7420.0,مساحات الزراعات الكبرى المطرية
2017,السبيخة,30004.0,مساحات الزراعات الكبرى المطرية
2017,الوسلاتية,22500.0,مساحات الزراعات الكبرى المطرية
2017,الشبيكة,8400.0,مساحات الزراعات الكبرى المطرية
2017,حفوز,4200.0,مساحات الزراعات الكبرى المطرية
2017,العلا,5800.0,مساحات الزراعات الكبرى المطرية
2017,حاجب العيون,2300.0,مساحات الزراعات الكبرى المطرية
2017,عين جلولة,,مساحات الزراعات الكبرى المطرية
2017,نصرالله,4000.0,مساحات الزراعات الكبرى المطرية
2017,منزل المهيري,,مساحات الزراعات الكبرى المطرية
2017,بوحجلة,5000.0,مساحات الزراعات الكبرى المطرية
2017,الشراردة,676.0,مساحات الزراعات الكبرى المطرية
2017,المجمــوع,96100.0,مساحات الزراعات الكبرى المطرية
2018,القيروان الشمالية,6700.0,مساحات الزراعات الكبرى المطرية
2018,القيروان الجنوبية,3850.0,مساحات الزراعات الكبرى المطرية
2018,السبيخة,12254.0,مساحات الزراعات الكبرى المطرية
2018,الوسلاتية,20000.0,مساحات الزراعات الكبرى المطرية
2018,الشبيكة,4600.0,مساحات الزراعات الكبرى المطرية
2018,حفوز,2900.0,مساحات الزراعات الكبرى المطرية
2018,العلا,5800.0,مساحات الزراعات الكبرى المطرية
2018,حاجب العيون,2100.0,مساحات الزراعات الكبرى المطرية
2018,عين جلولة,,مساحات الزراعات الكبرى المطرية
2018,نصرالله,3700.0,مساحات الزراعات الكبرى المطرية
2018,منزل المهيري,,مساحات الزراعات الكبرى المطرية
2018,بوحجلة,3000.0,مساحات الزراعات الكبرى المطرية
2018,الشراردة,250.0,مساحات الزراعات الكبرى المطرية
2018,المجمــوع,65154.0,مساحات الزراعات الكبرى المطرية
2019,القيروان الشمالية,6100.0,مساحات الزراعات الكبرى المطرية
2019,القيروان الجنوبية,6500.0,مساحات الزراعات الكبرى المطرية
2019,السبيخة,20104.0,مساحات الزراعات الكبرى المطرية
2019,الوسلاتية,19400.0,مساحات الزراعات الكبرى المطرية
2019,الشبيكة,7500.0,مساحات الزراعات الكبرى المطرية
2019,حفوز,3800.0,مساحات الزراعات الكبرى المطرية
2019,العلا,5500.0,مساحات الزراعات الكبرى المطرية
2019,حاجب العيون,2500.0,مساحات الزراعات الكبرى المطرية
2019,عين جلولة,,مساحات الزراعات الكبرى المطرية
2019,نصرالله,3000.0,مساحات الزراعات الكبرى المطرية
2019,منزل المهيري,1200.0,مساحات الزراعات الكبرى المطرية
2019,بوحجلة,5800.0,مساحات الزراعات الكبرى المطرية
2019,الشراردة,700.0,مساحات الزراعات الكبرى المطرية
2019,المجمــوع,82104.0,مساحات الزراعات الكبرى المطرية
2020,القيروان الشمالية,3500.0,مساحات الزراعات الكبرى المطرية
2020,القيروان الجنوبية,6300.0,مساحات الزراعات الكبرى المطرية
2020,السبيخة,15500.0,مساحات الزراعات الكبرى المطرية
2020,الوسلاتية,16000.0,مساحات الزراعات الكبرى المطرية
2020,الشبيكة,7700.0,مساحات الزراعات الكبرى المطرية
2020,حفوز,2850.0,مساحات الزراعات الكبرى المطرية
2020,العلا,4500.0,مساحات الزراعات الكبرى المطرية
2020,حاجب العيون,1000.0,مساحات الزراعات الكبرى المطرية
2020,عين جلولة,2200.0,مساحات الزراعات الكبرى المطرية
2020,نصرالله,1250.0,مساحات الزراعات الكبرى المطرية
2020,منزل المهيري,1200.0,مساحات الزراعات الكبرى المطرية
2020,بوحجلة,4700.0,مساحات الزراعات الكبرى المطرية
2020,الشراردة,1260.0,مساحات الزراعات الكبرى المطرية
2020,المجمــوع,67960.0,مساحات الزراعات الكبرى المطرية
2021,القيروان الشمالية,1600.0,مساحات الزراعات الكبرى المطرية
2021,القيروان الجنوبية,6500.0,مساحات الزراعات الكبرى المطرية
2021,السبيخة,14500.0,مساحات الزراعات الكبرى المطرية
2021,الوسلاتية,16000.0,مساحات الزراعات الكبرى المطرية
2021,الشبيكة,3900.0,مساحات الزراعات الكبرى المطرية
2021,حفوز,2150.0,مساحات الزراعات الكبرى المطرية
2021,العلا,3500.0,مساحات الزراعات الكبرى المطرية
2021,حاجب العيون,1250.0,مساحات الزراعات الكبرى المطرية
2021,عين جلولة,3300.0,مساحات الزراعات الكبرى المطرية
2021,نصرالله,1150.0,مساحات الزراعات الكبرى المطرية
2021,منزل المهيري,800.0,مساحات الزراعات الكبرى المطرية
2021,بوحجلة,3300.0,مساحات الزراعات الكبرى المطرية
2021,الشراردة,150.0,مساحات الزراعات الكبرى المطرية
2021,المجمــوع,58100.0,مساحات الزراعات الكبرى المطرية
2022,القيروان الشمالية,1550.0,مساحات الزراعات الكبرى المطرية
2022,القيروان الجنوبية,1350.0,مساحات الزراعات الكبرى المطرية
2022,السبيخة,4870.0,مساحات الزراعات الكبرى المطرية
2022,الوسلاتية,9200.0,مساحات الزراعات الكبرى المطرية
2022,الشبيكة,450.0,مساحات الزراعات الكبرى المطرية
2022,حفوز,0.0,مساحات الزراعات الكبرى المطرية
2022,العلا,2000.0,مساحات الزراعات الكبرى المطرية
2022,حاجب العيون,100.0,مساحات الزراعات الكبرى المطرية
2022,عين جلولة,750.0,مساحات الزراعات الكبرى المطرية
2022,نصرالله,0.0,مساحات الزراعات الكبرى المطرية
2022,منزل المهيري,80.0,مساحات الزراعات الكبرى المطرية
2022,بوحجلة,350.0,مساحات الزراعات الكبرى المطرية
2022,الشراردة,0.0,مساحات الزراعات الكبرى المطرية
2022,المجمــوع,20700.0,مساحات الزراعات الكبرى المطرية
2023,القيروان الشمالية,330.0,مساحات الزراعات الكبرى المطرية
2023,القيروان الجنوبية,420.0,مساحات الزراعات الكبرى المطرية
2023,السبيخة,3870.0,مساحات الزراعات الكبرى المطرية
2023,الوسلاتية,8500.0,مساحات الزراعات الكبرى المطرية
2023,الشبيكة,400.0,مساحات الزراعات الكبرى المطرية
2023,حفوز,450.0,مساحات الزراعات الكبرى المطرية
2023,العلا,0.0,مساحات الزراعات الكبرى المطرية
2023,حاجب العيون,0.0,مساحات الزراعات الكبرى المطرية
2023,عين جلولة,0.0,مساحات الزراعات الكبرى المطرية
2023,نصرالله,0.0,مساحات الزراعات الكبرى المطرية
2023,منزل المهيري,0.0,مساحات الزراعات الكبرى المطرية
2023,بوحجلة,0.0,مساحات الزراعات الكبرى المطرية
2023,الشراردة,0.0,مساحات الزراعات الكبرى المطرية
2023,المجمــوع,13970.0,مساحات الزراعات الكبرى المطرية
2024,القيروان الشمالية,250.0,مساحات الزراعات الكبرى المطرية
2024,القيروان الجنوبية,100.0,مساحات الزراعات الكبرى المطرية
2024,السبيخة,1625.0,مساحات الزراعات الكبرى المطرية
2024,الوسلاتية,6500.0,مساحات الزراعات الكبرى المطرية
2024,الشبيكة,1840.0,مساحات الزراعات الكبرى المطرية
2024,حفوز,200.0,مساحات الزراعات الكبرى المطرية
2024,العلا,5000.0,مساحات الزراعات الكبرى المطرية
2024,حاجب العيون,10.0,مساحات الزراعات الكبرى المطرية
2024,عين جلولة,350.0,مساحات الزراعات الكبرى المطرية
2024,نصرالله,500.0,مساحات الزراعات الكبرى المطرية
2024,منزل المهيري,0.0,مساحات الزراعات الكبرى المطرية
2024,بوحجلة,490.0,مساحات الزراعات الكبرى المطرية
2024,الشراردة,0.0,مساحات الزراعات الكبرى المطرية
2024,المجمــوع,16865.0,مساحات الزراعات الكبرى المطرية
